Instrument,Qty.,Avg. cost,LTP,Invested,Cur. val,P&L,Net chg.,Day chg.
ADANIGREEN,23,1132.44,1016.8,26046.2,23386.4,-2659.8,-10.21,2.58
HDFCBANK,6,716.85,925.7,4301.1,5554.2,1253.1,29.13,-0.01
IRFC,27,146.85,112.99,3964.95,3050.73,-914.22,-23.06,-0.17
JPASSOCIAT,30,16.25,3.36,487.61,100.8,-386.81,-79.33,4.35
JSWENERGY,1,728.7,487.35,728.7,487.35,-241.35,-33.12,-0.53
NHPC,13,89.95,76.69,1169.35,996.97,-172.38,-14.74,-0.51
TATASTEEL,30,164.85,203.08,4945.5,6092.4,1146.9,23.19,-1.33
TMCV,10,239.54,489.75,2395.44,4897.5,2502.07,104.45,2.23
TMPV,10,529.46,382.85,5294.57,3828.5,-1466.06,-27.69,1.48
UJJIVANSFB,6,44.82,62.42,268.92,374.52,105.6,39.27,1.02
VIKASLIFE,159,4.94,1.62,785.36,257.58,-527.78,-67.2,0
