"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,964.15,26046.2,22175.45,-3870.75,-14.86,-1.75,""
"HDFCBANK",6,716.85,907.75,4301.1,5446.5,1145.4,26.63,-0.32,""
"IRFC",27,146.85,104.56,3964.95,2823.12,-1141.83,-28.8,-4.46,""
"JPASSOCIAT",30,16.25,2.99,487.61,89.7,-397.91,-81.6,-2.29,""
"JSWENERGY",1,728.7,490.05,728.7,490.05,-238.65,-32.75,-0.04,""
"NHPC",13,89.95,75.66,1169.35,983.58,-185.77,-15.89,-0.15,""
"TATASTEEL",30,164.85,214.65,4945.5,6439.5,1494,30.21,2.63,""
"TMCV",10,239.54,479.8,2395.44,4798,2402.57,100.3,0.89,""
"TMPV",10,529.46,381.85,5294.57,3818.5,-1476.06,-27.88,1.14,""
"UJJIVANSFB",6,44.82,61.22,268.92,367.32,98.4,36.59,0.79,""
"VIKASLIFE",159,4.94,1.48,785.36,235.32,-550.04,-70.04,-0.67,""
