"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,854.35,26046.2,19650.05,-6396.15,-24.56,-0.54,""
"HDFCBANK",6,716.85,839.2,4301.1,5035.2,734.1,17.07,-2.09,""
"IRFC",27,146.85,97.57,3964.95,2634.39,-1330.56,-33.56,-1.91,""
"JPASSOCIAT",30,16.25,2.32,487.61,69.6,-418.01,-85.73,-4.92,""
"JSWENERGY",1,728.7,477.55,728.7,477.55,-251.15,-34.47,-2.25,""
"NHPC",13,89.95,73.04,1169.35,949.52,-219.83,-18.8,-1.54,""
"TATASTEEL",30,164.85,191.05,4945.5,5731.5,786,15.89,-3.75,""
"TMCV",10,239.54,448.3,2395.44,4483,2087.57,87.15,-5.47,""
"TMPV",10,529.46,332,5294.57,3320,-1974.56,-37.29,-5.35,""
"UJJIVANSFB",6,44.82,53.37,268.92,320.22,51.3,19.08,-4.46,""
"VIKASLIFE",159,4.94,1.34,785.36,213.06,-572.3,-72.87,-3.6,""
