Instrument,Qty.,Avg. cost,LTP,Invested,Cur. val,P&L,Net chg.,Day chg.
ADANIGREEN,23,1132.44,849.65,26046.2,19541.95,-6504.25,-24.97,-0.85
HDFCBANK,6,716.85,833.95,4301.1,5003.7,702.6,16.34,-1.82
IRFC,27,146.85,99.25,3964.95,2679.75,-1285.2,-32.41,-1.45
JPASSOCIAT,30,16.25,2.55,487.61,76.5,-411.11,-84.31,4.94
JSWENERGY,1,728.7,487.7,728.7,487.7,-241,-33.07,-0.24
NHPC,13,89.95,73.46,1169.35,954.98,-214.37,-18.33,0.58
TATASTEEL,30,164.85,194.7,4945.5,5841,895.5,18.11,-0.18
TMCV,10,239.54,445.45,2395.44,4454.5,2059.07,85.96,-2.98
TMPV,10,529.46,335.35,5294.57,3353.5,-1941.06,-36.66,-2.85
UJJIVANSFB,6,44.82,53.9,268.92,323.4,54.48,20.26,-3.84
VIKASLIFE,159,4.94,1.32,785.36,209.88,-575.48,-73.28,0
