"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1225.9,26046.2,28195.7,2149.5,8.25,-1.56,""
"HDFCBANK",6,716.85,771.7,4301.1,4630.2,329.1,7.65,-0.94,""
"IRFC",27,146.85,104.14,3964.95,2811.78,-1153.17,-29.08,-0.9,""
"JSWENERGY",1,728.7,561.15,728.7,561.15,-167.55,-22.99,0.13,""
"NHPC",13,89.95,83.2,1169.35,1081.6,-87.75,-7.5,-1.06,""
"TATASTEEL",30,164.85,211.3,4945.5,6339,1393.5,28.18,-2.13,""
"TMCV",10,239.54,409.95,2395.44,4099.5,1704.07,71.14,-1.71,""
"TMPV",10,529.46,341.55,5294.57,3415.5,-1879.06,-35.49,-3.16,""
"UJJIVANSFB",6,44.82,57.42,268.92,344.52,75.6,28.11,0.97,""
"VIKASLIFE-BE",159,4.94,1.57,785.36,249.63,-535.73,-68.21,-1.26,""
