"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1364.9,26046.2,31392.7,5346.5,20.53,0.85,""
"HDFCBANK",6,716.85,795.85,4301.1,4775.1,474,11.02,-0.09,""
"IRFC",27,146.85,106.7,3964.95,2880.9,-1084.05,-27.34,-0.05,""
"JSWENERGY",1,728.7,575.9,728.7,575.9,-152.8,-20.97,1.41,""
"NHPC",13,89.95,81.58,1169.35,1060.54,-108.81,-9.31,-2.49,""
"TATASTEEL",30,164.85,217.05,4945.5,6511.5,1566,31.67,0.7,""
"TMCV",10,239.54,434.05,2395.44,4340.5,1945.07,81.2,1,""
"TMPV",10,529.46,359.25,5294.57,3592.5,-1702.06,-32.15,0.31,""
"UJJIVANSFB",6,44.82,62.67,268.92,376.02,107.1,39.83,-0.05,""
"VIKASLIFE",159,4.94,1.58,785.36,251.22,-534.14,-68.01,-0.63,""
