"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1482.6,26046.2,34099.8,8053.6,30.92,-0.21,""
"HDFCBANK",6,716.85,777.35,4301.1,4664.1,363,8.44,0.63,""
"IRFC",27,146.85,97.08,3964.95,2621.16,-1343.79,-33.89,1.24,""
"JSWENERGY",1,728.7,565.2,728.7,565.2,-163.5,-22.44,1,""
"NHPC",13,89.95,74.69,1169.35,970.97,-198.38,-16.96,1.22,""
"TATASTEEL",30,164.85,197.28,4945.5,5918.4,972.9,19.67,-0.29,""
"TMCV",10,239.54,406.6,2395.44,4066,1670.57,69.74,3.9,""
"TMPV",10,529.46,396.4,5294.57,3964,-1330.57,-25.13,1.64,""
"UJJIVANSFB",6,44.82,56.95,268.92,341.7,72.78,27.06,3.85,""
"VIKASLIFE",159,4.94,1.5,785.36,238.5,-546.86,-69.63,2.74,""
