"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1546.5,26046.2,35569.5,9523.3,36.56,0.64,""
"HDFCBANK",6,716.85,817.95,4301.1,4907.7,606.6,14.1,-0.85,""
"IRFC",27,146.85,89.75,3964.95,2423.25,-1541.7,-38.88,-0.17,""
"JSWENERGY",1,728.7,553.65,728.7,553.65,-175.05,-24.02,0.04,""
"NHPC",13,89.95,79.46,1169.35,1032.98,-136.37,-11.66,-0.49,""
"TATASTEEL",30,164.85,187.11,4945.5,5613.3,667.8,13.5,-2.13,""
"TMCV",10,239.54,420.6,2395.44,4206,1810.57,75.58,-0.46,""
"TMPV",10,529.46,342.3,5294.57,3423,-1871.56,-35.35,1.24,""
"UJJIVANSFB",6,44.82,66.9,268.92,401.4,132.48,49.26,2.5,""
"VIKASLIFE",824,2.16,1.4,1782.86,1153.6,-629.26,-35.29,0.72,""
