"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"CEATLTD",6,3695,3696.5,22170,22179,9,0.04,-0.71,""
"IRFC",27,146.85,88.35,3964.95,2385.45,-1579.5,-39.84,0.1,""
"JSWENERGY",1,728.7,558.6,728.7,558.6,-170.1,-23.34,-0.03,""
"NHPC",13,89.95,78,1169.35,1014,-155.35,-13.29,1.5,""
"RELIANCE",7,1280,1317,8960,9219,259,2.89,-0.9,""
"TATASTEEL",30,164.85,184.85,4945.5,5545.5,600,12.13,-0.73,""
"TMCV",10,239.54,474.8,2395.44,4748,2352.57,98.21,3.88,""
"TMPV",10,529.46,349.6,5294.57,3496,-1798.56,-33.97,1.92,""
"UJJIVANSFB",6,44.82,71.22,268.92,427.32,158.4,58.9,-1.63,""
"VIKASLIFE",1724,1.69,1.25,2916.86,2155,-761.86,-26.12,0,""
