"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"CEATLTD",6,3695,3336.1,22170,20016.6,-2153.4,-9.71,0.09,""
"DMART",7,4064,3705.5,28448,25938.5,-2509.5,-8.82,-1.71,""
"IRFC",27,146.85,83.08,3964.95,2243.16,-1721.79,-43.43,-0.62,""
"JSWENERGY",1,728.7,530,728.7,530,-198.7,-27.27,-1.82,""
"NHPC",37,81.51,76,3015.91,2812,-203.91,-6.76,-0.33,""
"RELIANCE",7,1280,1309.5,8960,9166.5,206.5,2.3,-0.95,""
"TATASTEEL",30,164.85,185.5,4945.5,5565,619.5,12.53,-1.85,""
"TMCV",10,239.54,459.65,2395.44,4596.5,2201.06,91.89,0.32,""
"TMPV",10,529.46,307.25,5294.57,3072.5,-2222.06,-41.97,-1.52,""
"UJJIVANSFB",6,44.82,65.1,268.92,390.6,121.68,45.25,1.04,""
"VIKASLIFE",1724,1.69,1.3,2916.86,2241.2,-675.66,-23.16,0,""
