Instrument,Qty.,Avg. cost,LTP,Invested,Cur. val,P&L,Net chg.,Day chg.
ADANIGREEN,23,1132.44,1043.9,26046.2,24009.7,-2036.5,-7.82,0.36
HDFCBANK,6,716.85,995,4301.1,5970,1668.9,38.8,-0.65
IRFC,27,146.85,113.12,3964.95,3054.24,-910.71,-22.97,-0.62
JPASSOCIAT,30,16.25,3.99,487.61,119.7,-367.91,-75.45,-5
JSWENERGY,1,728.7,485.9,728.7,485.9,-242.8,-33.32,0.77
NHPC,13,89.95,77.14,1169.35,1002.82,-166.53,-14.24,0.01
TATASTEEL,30,164.85,172.8,4945.5,5184,238.5,4.82,0.52
TMCV,10,239.54,378,2395.44,3780,1384.57,57.8,1.14
TMPV,10,529.46,347.1,5294.57,3471,-1823.56,-34.44,-0.1
UJJIVANSFB,6,44.82,54.15,268.92,324.9,55.98,20.82,2.05
VIKASLIFE,159,4.94,1.82,785.36,289.38,-495.98,-63.15,0.55
