"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1011.2,26046.2,23257.6,-2788.6,-10.71,-0.98,""
"HDFCBANK",6,716.85,979.65,4301.1,5877.9,1576.8,36.66,-0.47,""
"IRFC",27,146.85,110.8,3964.95,2991.6,-973.35,-24.55,-0.27,""
"JSWENERGY",1,728.7,472,728.7,472,-256.7,-35.23,-0.68,""
"NHPC",13,89.95,75.04,1169.35,975.52,-193.83,-16.58,-0.46,""
"TATASTEEL",30,164.85,168.12,4945.5,5043.6,98.1,1.98,-1.3,""
"TMCV",10,239.54,401.05,2395.44,4010.5,1615.07,67.42,3.66,""
"TMPV",10,529.46,345.8,5294.57,3458,-1836.56,-34.69,-0.16,""
"UJJIVANSFB",6,44.82,53.3,268.92,319.8,50.88,18.92,-1.93,""
"VIKASLIFE",159,4.94,1.76,785.36,279.84,-505.52,-64.37,-3.3,""
