Instrument,Qty.,Avg. cost,LTP,Invested,Cur. val,P&L,Net chg.,Day chg.
ADANIGREEN,23,1132.44,1030.55,26046.2,23702.65,-2343.55,-9,-0.79
HDFCBANK,6,716.85,977.5,4301.1,5865,1563.9,36.36,-2.41
IRFC,27,146.85,127.6,3964.95,3445.2,-519.75,-13.11,-0.68
JPASSOCIAT,30,16.25,3.43,487.61,102.9,-384.71,-78.9,-4.99
JSWENERGY,1,728.7,516.9,728.7,516.9,-211.8,-29.07,1.22
NHPC,13,89.95,83.62,1169.35,1087.06,-82.29,-7.04,0
TATASTEEL,30,164.85,185.72,4945.5,5571.6,626.1,12.66,1.55
TMCV,10,239.54,426.45,2395.44,4264.5,1869.07,78.03,-3.57
TMPV,10,529.46,373.55,5294.57,3735.5,-1559.06,-29.45,0.86
UJJIVANSFB,6,44.82,58.43,268.92,350.58,81.66,30.37,4.86
VIKASLIFE,159,4.94,1.89,785.36,300.51,-484.85,-61.74,-2.07
