"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,879.6,26046.2,20230.8,-5815.4,-22.33,-0.42,""
"HDFCBANK",6,716.85,920.35,4301.1,5522.1,1221,28.39,-1.17,""
"IRFC",27,146.85,115.15,3964.95,3109.05,-855.9,-21.59,-0.86,""
"JSWENERGY",1,728.7,477.9,728.7,477.9,-250.8,-34.42,-0.38,""
"NHPC",13,89.95,76.19,1169.35,990.47,-178.88,-15.3,-1.83,""
"TATASTEEL",30,164.85,184.41,4945.5,5532.3,586.8,11.87,0.46,""
"TMCV",10,239.54,434.85,2395.44,4348.5,1953.07,81.53,0.55,""
"TMPV",10,529.46,339.15,5294.57,3391.5,-1903.07,-35.94,0.38,""
"UJJIVANSFB",6,44.82,57.77,268.92,346.62,77.7,28.89,-0.29,""
"VIKASLIFE",159,4.94,1.72,785.36,273.48,-511.88,-65.18,-1.71,""
