Instrument,Qty.,Avg. cost,LTP,Invested,Cur. val,P&L,Net chg.,Day chg.
ADANIGREEN,23,1132.44,991.05,26046.2,22794.15,-3252.05,-12.49,4.26
HDFCBANK,6,716.85,925.45,4301.1,5552.7,1251.6,29.1,2.19
IRFC,27,146.85,113.15,3964.95,3055.05,-909.9,-22.95,1.53
JPASSOCIAT,30,16.25,3.22,487.61,96.6,-391.01,-80.19,-4.73
JSWENERGY,1,728.7,489.55,728.7,489.55,-239.15,-32.82,3.13
NHPC,13,89.95,77.08,1169.35,1002.04,-167.31,-14.31,2.09
TATASTEEL,30,164.85,205.75,4945.5,6172.5,1227,24.81,1.25
TMCV,10,239.54,478.8,2395.44,4788,2392.57,99.88,-1.07
TMPV,10,529.46,377.1,5294.57,3771,-1523.56,-28.78,-0.92
UJJIVANSFB,6,44.82,61.75,268.92,370.5,101.58,37.77,0.83
VIKASLIFE,159,4.94,1.62,785.36,257.58,-527.78,-67.2,1.25
