"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1021.5,26046.2,23494.5,-2551.7,-9.8,1.02,""
"HDFCBANK",6,716.85,985.5,4301.1,5913,1611.9,37.48,0.59,""
"IRFC",27,146.85,113.98,3964.95,3077.46,-887.49,-22.38,2.86,""
"JSWENERGY",1,728.7,478.05,728.7,478.05,-250.65,-34.4,1.21,""
"NHPC",13,89.95,76.61,1169.35,995.93,-173.42,-14.83,2.09,""
"TATASTEEL",30,164.85,168.65,4945.5,5059.5,114,2.31,0.3,""
"TMCV",10,239.54,394.45,2395.44,3944.5,1549.07,64.67,-1.77,""
"TMPV",10,529.46,352.75,5294.57,3527.5,-1767.06,-33.38,1.98,""
"UJJIVANSFB",6,44.82,54.04,268.92,324.24,55.32,20.57,1.24,""
"VIKASLIFE",159,4.94,1.8,785.36,286.2,-499.16,-63.56,2.27,""
