"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,929.95,26046.2,21388.85,-4657.35,-17.88,-0.58,""
"HDFCBANK",6,716.85,931.15,4301.1,5586.9,1285.8,29.89,0.56,""
"IRFC",27,146.85,122.2,3964.95,3299.4,-665.55,-16.79,0.12,""
"JSWENERGY",1,728.7,492.8,728.7,492.8,-235.9,-32.37,-0.37,""
"NHPC",13,89.95,80.3,1169.35,1043.9,-125.45,-10.73,-1.25,""
"TATASTEEL",30,164.85,188.1,4945.5,5643,697.5,14.1,-0.61,""
"TMCV",10,239.54,438.5,2395.44,4385,1989.57,83.06,1.1,""
"TMPV",10,529.46,353.6,5294.57,3536,-1758.56,-33.21,1.09,""
"UJJIVANSFB",6,44.82,60.31,268.92,361.86,92.94,34.56,2.22,""
"VIKASLIFE",159,4.94,1.78,785.36,283.02,-502.34,-63.96,-0.56,""
