"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,832.45,26046.2,19146.35,-6899.85,-26.49,-2.5,""
"HDFCBANK",6,716.85,756.2,4301.1,4537.2,236.1,5.49,-3.34,""
"IRFC",27,146.85,92.45,3964.95,2496.15,-1468.8,-37.04,-2.93,""
"JSWENERGY",1,728.7,484.8,728.7,484.8,-243.9,-33.47,-1.92,""
"NHPC",13,89.95,76.57,1169.35,995.41,-173.94,-14.87,-0.82,""
"TATASTEEL",30,164.85,193.22,4945.5,5796.6,851.1,17.21,-1.74,""
"TMCV",10,239.54,427.6,2395.44,4276,1880.57,78.51,-0.98,""
"TMPV",10,529.46,303.2,5294.57,3032,-2262.56,-42.73,-4.68,""
"UJJIVANSFB",6,44.82,52.88,268.92,317.28,48.36,17.98,-2.95,""
"VIKASLIFE",159,4.94,1.15,785.36,182.85,-602.51,-76.72,-7.26,""
