Instrument,Qty.,Avg. cost,LTP,Invested,Cur. val,P&L,Net chg.,Day chg.
ADANIGREEN,23,1132.44,968,26046.2,22264,-3782.2,-14.52,0.04
HDFCBANK,6,716.85,941.1,4301.1,5646.6,1345.5,31.28,-0.91
IRFC,27,146.85,114.53,3964.95,3092.31,-872.64,-22.01,-0.16
JPASSOCIAT,30,16.25,3.32,487.61,99.6,-388.01,-79.57,-2.92
JSWENERGY,1,728.7,473.3,728.7,473.3,-255.4,-35.05,-0.14
NHPC,13,89.95,79.43,1169.35,1032.59,-136.76,-11.7,-0.71
TATASTEEL,30,164.85,197.06,4945.5,5911.8,966.3,19.54,-0.35
TMCV,10,239.54,458.25,2395.44,4582.5,2187.07,91.3,0.52
TMPV,10,529.46,369.9,5294.57,3699,-1595.57,-30.14,-1.14
UJJIVANSFB,6,44.82,63.06,268.92,378.36,109.44,40.7,-0.03
VIKASLIFE,159,4.94,1.62,785.36,257.58,-527.78,-67.2,-4.71
